timestamp,Temperature (BME280) (°C),Humidity (BME280) (%),Pressure (BME280) (hPa),Light Intensity (BH1750) (lux),Lightning Detection (AS3935),Lightning Distance (AS3935) (km),Rain Event (LM393),Temperature (MCP9808) (°C),UV Index (GY-8511),Rain Accumulation (SEN0575) (mm),Wind Speed (Anemometer) (m/s),Wind Direction (Wind Vane) (deg),PM1.0 (PMSA003I) (µg/m³),PM2.5 (PMSA003I) (µg/m³),PM10.0 (PMSA003I) (µg/m³)
2025-03-02 15:16:06,,,,,,,,,,,,,10,15,15
2025-03-02 15:16:21,,,,,,,,,,,,,10,12,13
2025-03-02 15:16:36,,,,,,,,,,,,,10,13,14
2025-03-02 15:16:51,,,,,,,,,,,,,10,12,13
2025-03-02 15:17:06,,,,,,,,,,,,,10,13,13
2025-03-02 15:17:21,,,,,,,,,,,,,8,11,11
2025-03-02 15:17:36,,,,,,,,,,,,,10,12,12
2025-03-02 15:17:51,,,,,,,,,,,,,10,13,13
2025-03-02 15:18:06,,,,,,,,,,,,,9,12,12
2025-03-02 15:18:21,,,,,,,,,,,,,9,12,13
2025-03-02 15:18:36,,,,,,,,,,,,,11,14,14
2025-03-02 15:18:51,,,,,,,,,,,,,8,10,10
2025-03-02 15:19:06,,,,,,,,,,,,,8,9,9
2025-03-02 15:19:21,,,,,,,,,,,,,11,13,13
2025-03-02 15:19:36,,,,,,,,,,,,,9,12,12
2025-03-02 15:19:51,,,,,,,,,,,,,9,11,11
2025-03-02 15:20:06,,,,,,,,,,,,,10,11,12
2025-03-02 15:20:21,,,,,,,,,,,,,10,13,13
2025-03-02 15:20:36,,,,,,,,,,,,,10,12,12
2025-03-02 15:20:51,,,,,,,,,,,,,9,12,12
2025-03-02 15:21:06,,,,,,,,,,,,,9,11,11
2025-03-02 15:21:21,,,,,,,,,,,,,10,12,12
2025-03-02 15:21:36,,,,,,,,,,,,,9,12,12
2025-03-02 15:21:51,,,,,,,,,,,,,11,14,15
2025-03-02 15:22:06,,,,,,,,,,,,,8,10,11
2025-03-02 15:22:21,,,,,,,,,,,,,8,11,11
2025-03-02 15:22:36,,,,,,,,,,,,,10,13,13
2025-03-02 15:22:51,,,,,,,,,,,,,10,10,11
2025-03-02 15:23:06,,,,,,,,,,,,,10,12,15
2025-03-02 15:23:21,,,,,,,,,,,,,10,17,18
2025-03-02 15:23:36,,,,,,,,,,,,,9,11,11
2025-03-02 15:23:51,,,,,,,,,,,,,8,11,13
2025-03-02 15:24:06,,,,,,,,,,,,,9,10,11
2025-03-02 15:24:21,,,,,,,,,,,,,10,13,16
2025-03-02 15:24:36,,,,,,,,,,,,,10,13,13
2025-03-02 15:24:51,,,,,,,,,,,,,8,9,9
2025-03-02 15:25:06,,,,,,,,,,,,,8,12,16
2025-03-02 15:25:21,,,,,,,,,,,,,11,14,14
2025-03-02 15:25:36,,,,,,,,,,,,,9,11,11
2025-03-02 15:25:51,,,,,,,,,,,,,11,13,13
2025-03-02 15:26:06,,,,,,,,,,,,,9,12,13
2025-03-02 15:26:21,,,,,,,,,,,,,9,14,14
2025-03-02 15:26:36,,,,,,,,,,,,,9,13,14
2025-03-02 15:26:51,,,,,,,,,,,,,10,12,12
2025-03-02 15:27:06,,,,,,,,,,,,,7,9,9
2025-03-02 15:27:21,,,,,,,,,,,,,10,12,13
2025-03-02 15:27:36,,,,,,,,,,,,,8,11,11
2025-03-02 15:27:51,,,,,,,,,,,,,9,11,11
2025-03-02 15:28:06,,,,,,,,,,,,,9,10,12
2025-03-02 15:28:21,,,,,,,,,,,,,9,10,10
2025-03-02 15:28:36,,,,,,,,,,,,,10,12,12
2025-03-02 15:28:51,,,,,,,,,,,,,10,12,12
2025-03-02 15:29:06,,,,,,,,,,,,,9,12,12
2025-03-02 15:29:21,,,,,,,,,,,,,9,12,13
2025-03-02 15:29:36,,,,,,,,,,,,,8,10,10
2025-03-02 15:29:51,,,,,,,,,,,,,10,11,13
2025-03-02 15:30:06,,,,,,,,,,,,,8,11,11
2025-03-02 15:30:21,,,,,,,,,,,,,8,10,10
2025-03-02 15:30:36,,,,,,,,,,,,,11,13,13
2025-03-02 15:30:52,,,,,,,,,,,,,10,12,15
2025-03-02 15:31:07,,,,,,,,,,,,,9,11,13
2025-03-02 15:31:22,,,,,,,,,,,,,9,12,12
2025-03-02 15:31:37,,,,,,,,,,,,,10,11,11
2025-03-02 15:31:52,,,,,,,,,,,,,10,14,15
2025-03-02 15:32:07,,,,,,,,,,,,,8,10,10
2025-03-02 15:32:22,,,,,,,,,,,,,8,11,11
2025-03-02 15:32:37,,,,,,,,,,,,,9,12,15
2025-03-02 15:32:52,,,,,,,,,,,,,10,12,13
2025-03-02 15:33:07,,,,,,,,,,,,,8,10,10
2025-03-02 15:33:22,,,,,,,,,,,,,9,10,11
2025-03-02 15:33:37,,,,,,,,,,,,,9,10,12
2025-03-02 15:33:52,,,,,,,,,,,,,8,10,10
2025-03-02 15:34:07,,,,,,,,,,,,,8,10,10
2025-03-02 15:34:22,,,,,,,,,,,,,7,10,10
2025-03-02 15:34:37,,,,,,,,,,,,,8,10,11
2025-03-02 15:34:52,,,,,,,,,,,,,8,10,11
2025-03-02 15:35:07,,,,,,,,,,,,,9,11,13
2025-03-02 15:35:22,,,,,,,,,,,,,9,12,12
2025-03-02 15:35:37,,,,,,,,,,,,,8,10,10
2025-03-02 15:35:52,,,,,,,,,,,,,7,11,11
2025-03-02 15:36:07,,,,,,,,,,,,,9,11,11
2025-03-02 15:36:22,,,,,,,,,,,,,9,11,11
2025-03-02 15:36:37,,,,,,,,,,,,,8,10,10
2025-03-02 15:36:52,,,,,,,,,,,,,10,14,14
2025-03-02 15:37:07,,,,,,,,,,,,,8,10,10
2025-03-02 15:37:22,,,,,,,,,,,,,7,8,11
2025-03-02 15:37:37,,,,,,,,,,,,,8,9,9
2025-03-02 15:37:52,,,,,,,,,,,,,8,9,9
2025-03-02 15:38:07,,,,,,,,,,,,,9,12,12
2025-03-02 15:38:22,,,,,,,,,,,,,9,10,11
2025-03-02 15:38:37,,,,,,,,,,,,,8,10,13
2025-03-02 15:38:52,,,,,,,,,,,,,8,10,10
2025-03-02 15:39:07,,,,,,,,,,,,,8,10,11
2025-03-02 15:39:22,,,,,,,,,,,,,7,8,8
2025-03-02 15:39:37,,,,,,,,,,,,,7,8,9
2025-03-02 15:39:52,,,,,,,,,,,,,8,9,10
2025-03-02 15:40:07,,,,,,,,,,,,,8,8,8
2025-03-02 15:40:22,,,,,,,,,,,,,8,10,10
2025-03-02 15:40:37,,,,,,,,,,,,,9,11,12
2025-03-02 15:40:52,,,,,,,,,,,,,8,10,10
2025-03-02 15:41:07,,,,,,,,,,,,,8,11,11
2025-03-02 15:41:22,,,,,,,,,,,,,9,11,13
2025-03-02 15:41:37,,,,,,,,,,,,,9,10,10
2025-03-02 15:41:52,,,,,,,,,,,,,9,12,14
2025-03-02 15:42:07,,,,,,,,,,,,,6,9,9
2025-03-02 15:42:22,,,,,,,,,,,,,8,10,10
2025-03-02 15:42:37,,,,,,,,,,,,,8,9,9
2025-03-02 15:42:52,,,,,,,,,,,,,7,8,8
2025-03-02 15:43:07,,,,,,,,,,,,,8,9,9
2025-03-02 15:43:22,,,,,,,,,,,,,7,8,8
2025-03-02 15:43:37,,,,,,,,,,,,,8,10,10
2025-03-02 15:43:52,,,,,,,,,,,,,9,10,10
2025-03-02 15:44:07,,,,,,,,,,,,,10,11,11
2025-03-02 15:44:22,,,,,,,,,,,,,8,10,12
2025-03-02 15:44:37,,,,,,,,,,,,,8,10,10
2025-03-02 15:44:52,,,,,,,,,,,,,8,9,9
2025-03-02 15:45:07,,,,,,,,,,,,,8,9,11
2025-03-02 15:45:22,,,,,,,,,,,,,7,11,11
2025-03-02 15:45:38,,,,,,,,,,,,,8,10,10
2025-03-02 15:45:53,,,,,,,,,,,,,8,9,10
2025-03-02 15:46:08,,,,,,,,,,,,,9,11,11
2025-03-02 15:46:23,,,,,,,,,,,,,8,9,9
2025-03-02 15:46:38,,,,,,,,,,,,,8,9,9
2025-03-02 15:46:53,,,,,,,,,,,,,8,9,9
2025-03-02 15:47:08,,,,,,,,,,,,,9,12,15
2025-03-02 15:47:23,,,,,,,,,,,,,9,10,10
2025-03-02 15:47:38,,,,,,,,,,,,,8,11,11
2025-03-02 15:47:53,,,,,,,,,,,,,9,11,11
2025-03-02 15:48:08,,,,,,,,,,,,,8,10,11
2025-03-02 15:48:23,,,,,,,,,,,,,9,11,13
2025-03-02 15:48:38,,,,,,,,,,,,,10,12,12
2025-03-02 15:48:53,,,,,,,,,,,,,7,9,9
2025-03-02 15:49:08,,,,,,,,,,,,,8,10,10
2025-03-02 15:49:23,,,,,,,,,,,,,7,10,11
2025-03-02 15:49:38,,,,,,,,,,,,,8,9,9
2025-03-02 15:49:53,,,,,,,,,,,,,8,10,10
2025-03-02 15:50:08,,,,,,,,,,,,,9,11,12
2025-03-02 15:50:23,,,,,,,,,,,,,10,11,12
2025-03-02 15:50:38,,,,,,,,,,,,,7,9,11
2025-03-02 15:50:53,,,,,,,,,,,,,8,9,10
2025-03-02 15:51:08,,,,,,,,,,,,,7,10,15
2025-03-02 15:51:23,,,,,,,,,,,,,8,9,11
2025-03-02 15:51:38,,,,,,,,,,,,,8,10,16
2025-03-02 15:51:53,,,,,,,,,,,,,8,11,11
2025-03-02 15:52:08,,,,,,,,,,,,,7,10,12
2025-03-02 15:52:23,,,,,,,,,,,,,9,15,16
2025-03-02 15:52:38,,,,,,,,,,,,,11,13,13
2025-03-02 15:52:53,,,,,,,,,,,,,11,13,13
